Title,Abstract,Missing DOI Duplicate in SCOPUS?,StoreId,AccessionNumber,ArticleType,AuthorAffiliation,Authors,copyright,correspondenceAuthor,digitalObjectIdentifier,documentType,elecISSN,entryDate,isbn,issn,issue,language,languageOfSummary,pages,pubdate,pubtitle,publicationType,year,publisher,sourceAttrib,volume,DocumentURL,britishNursingIndexEdition,notes,startPage,subjectTerms,FindACopy,Database
How expensive should CO2 be? Fuel for the debate on optimal climate policy,Most people are convinced that climate change is a threat and that it should somehow be dealt with. It is also clear that CO2 emissions are still too cheap and must be priced higher to sufficiently curtail emissions. Yet how high should a carbon tax be? Answering this question requires scientific insights on the costs and benefits of a carbon tax but also ethical--and thus political--judgements on how we value the damages from climate change that will happen in the near and in the far future. This paper reviews the evidence on the social cost of carbon and discusses global and unilateral policy options. It finds that a price of $77 per metric ton of carbon is defensible if we give 95% weight to damages occurring two generations (or 50 years) from now but higher if we want to further reduce the risk of catastrophic change. It is best implemented as part of trade agreements and in combination with R&D investment.,1,1983776853, 1678854,Working Papers,,"Poelhekke, Steven"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Poelhekke, Steven",, Working Paper,,"  0, 2017",,,, English, English,,"0, 2017","Netherlands Central Bank, Research Department, DNB Working Papers, 2017", CSAPTWorkingPapers,2017," Netherlands Central Bank, Research Department, DNB Working Papers"," American Economic Association © Netherlands Central Bank, Research Department, DNB Working Papers",,https://search.proquest.com/docview/1983776853?accountid=14505," Netherlands Central Bank, Research Department, DNB Working Papers, 2017", [URL:https://www.dnb.nl/en/binaries/Working%20Paper%20No.%20579_tcm47-369464.pdf] URL,," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Nonrenewable Resources and Conservation: Government Policy (Q38) , Taxation, Subsidies, and Revenue: General (H20) , Environment and Growth (O44) , climate change , carbon tax , discounting , policy",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=How+expensive+should+CO2+be%3F+Fuel+for+the+debate+on+optimal+climate+policy&amp;title=&amp;issn=&amp;date=2017-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Poelhekke%2C+Steven&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1678854&amp;rft_id=info:doi/,EconLit
ENTICE: Endogenous Technological Change in the DICE Model of Global Warming,"Despite growing empirical evidence of the link between environmental policy and innovation, most economic models of environmental policy treat technology as exogenous. For long-term problems such as climate change, this omission can be significant. In this paper, I modify the DICE model of climate change (Nordhaus 1994, Nordhaus and Boyer 2000) to allow for induced innovation in the energy sector. Ignoring induced technological change overstates the welfare costs of an optimal carbon tax policy by 8.3 percent. However, cost-savings, rather than increased environmental benefits, appear to drive the welfare gains, as the effect of induced innovation on emissions and mean global temperature is small. Sensitivity analysis shows that potential crowding out of other R&D and market failures in the R&D sector are the most important limiting factors to the potential of induced innovation. Differences in these key assumptions explain much of the variation in the findings of other similar models.",1,56335794, 0714378,Working Papers,,"Popp, David"," Information provided in collaboration with the RePEc Project: <a href =""http://repec.org"">RePEc</a>"," Popp, David",, Working Paper,,"  0, 2003",,0898-2937,, English, English,,"0, 2003",NBER Working Paper Series, CSAPTWorkingPapers,2003," National Bureau of Economic Research, Inc, NBER Working Papers: 9762"," American Economic Association © National Bureau of Economic Research, Inc, NBER Working Papers: 9762",w9762,https://search.proquest.com/docview/56335794?accountid=14505," National Bureau of Economic Research, Inc, NBER Working Papers: 9762, 2003", [URL:http://www.nber.org/papers/w9762.pdf] URL,," Technological Change: Choices and Consequences, Diffusion Processes (O33) , One, Two, and Multisector Growth Models (O41)",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=ENTICE%3A+Endogenous+Technological+Change+in+the+DICE+Model+of+Global+Warming&amp;title=NBER+Working+Paper+Series&amp;issn=08982937&amp;date=2003-01-01&amp;volume=w9762&amp;issue=&amp;spage=&amp;au=Popp%2C+David&amp;isbn=&amp;jtitle=NBER+Working+Paper+Series&amp;btitle=&amp;rft_id=info:eric/0714378&amp;rft_id=info:doi/,EconLit
A Tale of Tails: Uncertainty and the Social Cost of Carbon Dioxide,"Recent thinking about the economics of climate change has concerned the uncertainty about the upper bound of both climate sensitivity to greenhouse gases and the damages that might occur at high temperatures. This argument suggests that the appropriate probability distributions for these factors may be fat-tailed. The matter of tail shape has important implications for the calculation of the social cost of carbon dioxide (SCCO2). In this paper, a probabilistic integrated assessment model is adapted to allow for the possibility of a thin, intermediate or fat tail for both (i) the climate sensitivity parameter and (ii) the damage function exponent. Results show that depending on the tail shape of the climate sensitivity parameter the mean SCCO2 rises by 2985%. Changes in the mean SCCO2 due to the adjustments to the damage function alone range from a reduction of 7% to a rise of 12%. The combination of both leads to rises of 3,315%. Greater rises occur for the upper percentiles of the SCCO2 estimates. Given the uncertainties in both the science and the economics of climate change different tail shapes deserve consideration due to their important implications for the range of possible values for the SCCO2.",0,925698604, 1281575,Scholarly Journals,,"Pycroft, Jonathan;Vergano, Lucia;Hope, Chris;Paci, Daniele;Ciscar, Juan Carlos",," Pycroft, Jonathan",, Journal Article,,"  0, 2011",,1864-6042,, English, English,,"0, 2011","Economics: The Open-Access, Open-Assessment E-Journal"," CSAPTjournals , CSAPTpeerjournals",2011,, American Economic Association,5,https://search.proquest.com/docview/925698604?accountid=14505," Economics: The Open-Access, Open-Assessment E-Journal, vol. 5, 2011", [URL:http://www.economics-ejournal.org] Publisher's URL,," Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Global , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=A+Tale+of+Tails%3A+Uncertainty+and+the+Social+Cost+of+Carbon+Dioxide&amp;title=Economics%3A+The+Open-Access%2C+Open-Assessment+E-Journal&amp;issn=18646042&amp;date=2011-01-01&amp;volume=5&amp;issue=&amp;spage=&amp;au=Pycroft%2C+Jonathan%3BVergano%2C+Lucia%3BHope%2C+Chris%3BPaci%2C+Daniele%3BCiscar%2C+Juan+Carlos&amp;isbn=&amp;jtitle=Economics%3A+The+Open-Access%2C+Open-Assessment+E-Journal&amp;btitle=&amp;rft_id=info:eric/1281575&amp;rft_id=info:doi/,EconLit
The Importance of 'Extremely Unlikely' Events: Tail Risk and the Costs of Climate Change,"In assessing the risks associated with climate change, 'tail risks' (low-probability extreme events) often play a much larger role than their probability alone might indicate. There are three main reasons for this: the linear relationship between sensitivity and warming; the convexity of the damage function; and the concavity of the utility function. Ignoring the upper tail of the distribution of possible outcomes will result in serious underestimates of the social cost of carbon dioxide (CO2) emissions and of the socially optimal price for emissions.",1,2034285654, 1699633,Scholarly Journals,,"Quiggin, John",," Quiggin, John",, Journal Article, 1467-8489, January 2018,,1364-985X,1, English, English, 4-20,January 2018,Australian Journal of Agricultural and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2018,, American Economic Association,62,https://search.proquest.com/docview/2034285654?accountid=14505," Australian Journal of Agricultural and Resource Economics, vol. 62, no. 1, January 2018, pp. 4-20", [URL:http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8489/issues] Publisher's URL, 4," Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=The+Importance+of+%27Extremely+Unlikely%27+Events%3A+Tail+Risk+and+the+Costs+of+Climate+Change&amp;title=Australian+Journal+of+Agricultural+and+Resource+Economics&amp;issn=1364985X&amp;date=2018-01-01&amp;volume=62&amp;issue=1&amp;spage=4&amp;au=Quiggin%2C+John&amp;isbn=&amp;jtitle=Australian+Journal+of+Agricultural+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1699633&amp;rft_id=info:doi/,EconLit
Carbon Capture Retrofits and the Cost of Regulatory Uncertainty,"Power generation firms confront impending replacement of an aging coal-fired fleet in a business environment characterized by volatile natural gas prices and uncertain carbon regulation. We develop a stochastic dynamic programming model of firm investment decisions that minimizes the expected present value of future power generation costs under uncertain natural gas and carbon prices. We explore the implications of regulatory uncertainty on generation technology choice and the optimal timing of investment, and assess the implications of these choices for regulators. We find that interaction of regulatory uncertainty with irreversible investment always raises the social cost of carbon abatement. Further, the social cost of regulatory uncertainty is strongly dependent on the relative competitiveness of IGCC plants, for which the cost of later carbon capture retrofits is comparatively small, and on the firms ability to use investments in natural gas generation as a transitional strategy to manage carbon regulation uncertainty. Without highly competitive IGCC or low gas prices, regulatory uncertainty can increase the expected social cost of reducing emissions by 40 to 60%.",1,56621654, 0936614,Scholarly Journals,,"Reinelt, Peter S;Keith, David W",," Reinelt, Peter S",, Journal Article, 1944-9089,"  0, 2007",,0195-6574,4, English, English, 101-127,"0, 2007",Energy Journal," CSAPTjournals , CSAPTpeerjournals",2007,, American Economic Association,28,https://search.proquest.com/docview/56621654?accountid=14505," Energy Journal, vol. 28, no. 4, 2007, pp. 101-27", [URL:http://www.iaee.org/en/publications/journal.aspx] Publisher's URL, 101," Capital Budgeting, Fixed Investment and Inventory Studies, Capacity (G31) , Economics of Regulation (L51) , Electric Utilities (L94) , Industry Studies: Utilities and Transportation: Government Policy (L98) , Technological Change: Choices and Consequences, Diffusion Processes (O33) , Environmental Economics: Government Policy (Q58) , Environment , Firm Investment , Firm , Gas , Investment , Natural Gas , Regulation , Technology",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Carbon+Capture+Retrofits+and+the+Cost+of+Regulatory+Uncertainty&amp;title=Energy+Journal&amp;issn=01956574&amp;date=2007-01-01&amp;volume=28&amp;issue=4&amp;spage=101&amp;au=Reinelt%2C+Peter+S%3BKeith%2C+David+W&amp;isbn=&amp;jtitle=Energy+Journal&amp;btitle=&amp;rft_id=info:eric/0936614&amp;rft_id=info:doi/,EconLit
The Social Cost of Carbon: A Global Imperative,,0,1924865766, 1649743,Scholarly Journals,,"Revesz, Richard L;Schwartz, Jason A;Howard, Peter H;Arrow, Kenneth;Livermore, Michael A;Oppenheimer, Michael",," Revesz, Richard L",, Journal Article, 1750-6824, January 2017,,1750-6816,1, English, English, 172-173,January 2017,Review of Environmental Economics and Policy," CSAPTjournals , CSAPTpeerjournals",2017,, American Economic Association,11,https://search.proquest.com/docview/1924865766?accountid=14505," Review of Environmental Economics and Policy, vol. 11, no. 1, Winter 2017, pp. 172-73", [URL:https://academic.oup.com/reep/issue] Publisher's URL, 172," Allocative Efficiency, Cost-Benefit Analysis (D61) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58)",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=The+Social+Cost+of+Carbon%3A+A+Global+Imperative&amp;title=Review+of+Environmental+Economics+and+Policy&amp;issn=17506816&amp;date=2017-01-01&amp;volume=11&amp;issue=1&amp;spage=172&amp;au=Revesz%2C+Richard+L%3BSchwartz%2C+Jason+A%3BHoward%2C+Peter+H%3BArrow%2C+Kenneth%3BLivermore%2C+Michael+A%3BOppenheimer%2C+Michael&amp;isbn=&amp;jtitle=Review+of+Environmental+Economics+and+Policy&amp;btitle=&amp;rft_id=info:eric/1649743&amp;rft_id=info:doi/,EconLit
The Opportunity Cost of Climate Policy: A Question of Reference,"The cost of climate policy depends on the no-policy alternative without which the ""opportunity cost"" of climate action cannot be determined. This baseline path has to reflect the current failure in the market for carbon emissions. Because of a negative externality, private investment decisions are made without considering the climate damage they entail. Agents overinvest in conventional capital and underinvest in climate capital. Internalization of climate damage lowers the private return to capital, and agents reduce investment in favor of mitigation and consumption. Optimal climate policy increases the welfare of both the present and the future. A simulation of the inefficient no-policy scenario in the Dynamic integrated climate-economy model (DICE-07) confirms this numerically.",1,925696672, 1283555,Scholarly Journals,,"Rezai, Armon",," Rezai, Armon",, Journal Article, 1467-9442, December 2011,,0347-0520,4, English, English, 885-903,December 2011,Scandinavian Journal of Economics," CSAPTjournals , CSAPTpeerjournals",2011,, American Economic Association,113,https://search.proquest.com/docview/925696672?accountid=14505," Scandinavian Journal of Economics, vol. 113, no. 4, December 2011, pp. 885-903", [URL:http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-9442/issues] Publisher's URL, 885," Externalities (D62) , Equity, Justice, Inequality, and Other Normative Criteria and Measurement (D63) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate , Externality , Welfare",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=The+Opportunity+Cost+of+Climate+Policy%3A+A+Question+of+Reference&amp;title=Scandinavian+Journal+of+Economics&amp;issn=03470520&amp;date=2011-12-01&amp;volume=113&amp;issue=4&amp;spage=885&amp;au=Rezai%2C+Armon&amp;isbn=&amp;jtitle=Scandinavian+Journal+of+Economics&amp;btitle=&amp;rft_id=info:eric/1283555&amp;rft_id=info:doi/,EconLit
Climate Policies under Climate Model Uncertainty: Max-Min and Min-Max Regret,"Temperature responses and optimal climate policies depend crucially on the choice of a particular climate model. To illustrate, the temperature responses to given emission reduction paths implied by the climate modules of the well-known integrated assessments models DICE, FUND and PAGE are described and compared. A dummy temperature module based on the climate denialists' view is added. Using a simple welfare-maximising growth model of the global economy, the sensitivity of the optimal carbon price, renewable energy subsidy and energy transition to each of these climate models is discussed. The paper then derives max-min, max-max and min-max regret policies to deal with this particular form of climate (model) uncertainty and with climate scepticism. The max-min or min-max regret climate policies rely on a non-sceptic view of global warming and lead to a substantial and moderate amount of caution, respectively. The max-max leads to no climate policies in line with the view of climate sceptics.",1,1958565051, 1667536,Working Papers,,"Rezai, Armon;der Ploeg, Rick van"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Rezai, Armon",, Working Paper,,"  0, 2017",,,, English, English,,"0, 2017","CESifo Group Munich, CESifo Working Paper Series: 6626, 2017", CSAPTWorkingPapers,2017," CESifo Group Munich, CESifo Working Paper Series: 6626"," American Economic Association © CESifo Group Munich, CESifo Working Paper Series: 6626",,https://search.proquest.com/docview/1958565051?accountid=14505," CESifo Group Munich, CESifo Working Paper Series: 6626, 2017", [URL:http://www.cesifo-group.de/DocDL/cesifo1_wp6626.pdf] URL,," Taxation and Subsidies: Efficiency, Optimal Taxation (H21) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , carbon price, renewable energy subsidy, temperature modules, climate model uncertainty, climate sceptics, max-min, max-max, min-max regret",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Climate+Policies+under+Climate+Model+Uncertainty%3A+Max-Min+and+Min-Max+Regret&amp;title=&amp;issn=&amp;date=2017-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Rezai%2C+Armon%3Bder+Ploeg%2C+Rick+van&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1667536&amp;rft_id=info:doi/,EconLit
"Intergenerational Inequality Aversion, Growth, and the Role of Damages: Occam's Rule for the Global Carbon Tax","We derive a simple rule for a nearly optimal carbon tax that can be implemented and tested in a decentralized market economy. Our simple rule depends on the effect of the pure rate of time preference, growth, and intergenerational inequality aversion and basic parameters of the carbon cycle, but also on any adverse effects of global warming on economic growth and mean reversion in climate damages. The performance of the simple rule is excellent and yields only negligible welfare losses compared with the true welfare optimum under a wide range of perturbations including some extreme runs designed to severely road test the rule. Our IAM allows for scarce fossil fuel and endogenous energy transitions and generates cumulative carbon emissions and stranded assets which are also well predicted by our rule.",1,1958559058, 1665790,Scholarly Journals,,"Rezai, Armon;Van der Ploeg, Frederick",," Rezai, Armon",, Journal Article, 2333-5963, June 2016,,2333-5955,2, English, English, 493-522,June 2016,Journal of the Association of Environmental and Resource Economists," CSAPTjournals , CSAPTpeerjournals",2016,, American Economic Association,3,https://search.proquest.com/docview/1958559058?accountid=14505," Journal of the Association of Environmental and Resource Economists, vol. 3, no. 2, June 2016, pp. 493-522", [URL:http://www.journals.uchicago.edu/loi/jaere] Publisher's URL, 493," Equity, Justice, Inequality, and Other Normative Criteria and Measurement (D63) , Taxation and Subsidies: Efficiency, Optimal Taxation (H21) , Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , International Fiscal Issues, International Public Goods (H87) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate , Inequality , Tax , Welfare",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Intergenerational+Inequality+Aversion%2C+Growth%2C+and+the+Role+of+Damages%3A+Occam%27s+Rule+for+the+Global+Carbon+Tax&amp;title=Journal+of+the+Association+of+Environmental+and+Resource+Economists&amp;issn=23335955&amp;date=2016-06-01&amp;volume=3&amp;issue=2&amp;spage=493&amp;au=Rezai%2C+Armon%3BVan+der+Ploeg%2C+Frederick&amp;isbn=&amp;jtitle=Journal+of+the+Association+of+Environmental+and+Resource+Economists&amp;btitle=&amp;rft_id=info:eric/1665790&amp;rft_id=info:doi/,EconLit
Abandoning Fossil Fuel: How Fast And How Much?,"Climate change must deal with two market failures, global warming and learning by doing in renewable use. The social optimum requires an aggressive renewables subsidy in the near term and a gradually rising carbon tax which falls in long run. As a result, more renewables are used relative to fossil fuel, there is an intermediate phase of simultaneous use, the carbonfree era is brought forward, more fossil fuel is locked up and global warming is lower. The optimal carbon tax is not a fixed proportion of world GDP. The climate externality is more severe than the learning by doing one.",1,1531425168, 1439252,Working Papers,,"Rezai, Armon;van der Ploeg, Frederick"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Rezai, Armon",, Working Paper,,"  0, 2014",,0265-8003,, English, English,,"0, 2014",CEPR Discussion Papers, CSAPTWorkingPapers,2014," C.E.P.R. Discussion Papers, CEPR Discussion Papers: 9921"," American Economic Association © C.E.P.R. Discussion Papers, CEPR Discussion Papers: 9921",DP9921,https://search.proquest.com/docview/1531425168?accountid=14505," C.E.P.R. Discussion Papers, CEPR Discussion Papers: 9921, 2014", [URL:http://www.cepr.org/pubs/dps/DP9921.asp] URL,," Taxation and Subsidies: Efficiency, Optimal Taxation (H21) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , additive damages , carbon tax , climate change , directed technical change , integrated assessment , learning by doing , multiplicative damages , Ramsey growth , renewables subsidy",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Abandoning+Fossil+Fuel%3A+How+Fast+And+How+Much%3F&amp;title=CEPR+Discussion+Papers&amp;issn=02658003&amp;date=2014-01-01&amp;volume=DP9921&amp;issue=&amp;spage=&amp;au=Rezai%2C+Armon%3Bvan+der+Ploeg%2C+Frederick&amp;isbn=&amp;jtitle=CEPR+Discussion+Papers&amp;btitle=&amp;rft_id=info:eric/1439252&amp;rft_id=info:doi/,EconLit
Robustness of a Simple Rule for the Social Cost of Carbon,"The optimal social cost of carbon is in general equilibrium proportional to GDP if utility is logarithmic, production is Cobb-Douglas, depreciation in 100% every period, climate damages as fraction of production decline exponentially with the stock of atmospheric carbon, and fossil fuel extraction does not require capital. The time profile and size of the optimal carbon tax corresponding to this simple formula are not robust to more convex climate damages, smaller elasticities of factor substitution and varying coefficients of relative intergenerational inequality aversion. The optimal timing of energy transitions and the amount of fossil fuel reserves to be locked up in the earth are also not well predicted by this framework. Still, in terms of welfare and global warming the simple formula manages to get quite close to the first best.",1,1531426791, 1438867,Working Papers,,"Rezai, Armon;Van der Ploeg, Rick"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Rezai, Armon",, Working Paper,,"  0, 2014",,,, English, English,,"0, 2014","CESifo Group Munich, CESifo Working Paper Series: 4703, 2014", CSAPTWorkingPapers,2014," CESifo Group Munich, CESifo Working Paper Series: 4703"," American Economic Association © CESifo Group Munich, CESifo Working Paper Series: 4703",,https://search.proquest.com/docview/1531426791?accountid=14505," CESifo Group Munich, CESifo Working Paper Series: 4703, 2014", [URL:http://www.cesifo-group.de/portal/page/portal/DocBase_Content/WP/WP-CESifo_Working_Papers/wp-cesifo-2014/wp-cesifo-2014-03/cesifo1_wp4703. pdf] URL,," Taxation and Subsidies: Efficiency, Optimal Taxation (H21) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , social cost of carbon, Ramsey growth, climate damages, energy transitions, stranded fossil, fuel assets, robustness",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Robustness+of+a+Simple+Rule+for+the+Social+Cost+of+Carbon&amp;title=&amp;issn=&amp;date=2014-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Rezai%2C+Armon%3BVan+der+Ploeg%2C+Rick&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1438867&amp;rft_id=info:doi/,EconLit
Understanding the Social Cost of Carbon: A Model Diagnostic and Inter-comparison Study,"The social cost of carbon (SCC) is a monetary estimate of global climate change damages to society from an additional unit of carbon dioxide (CO2) emissions. SCCs are used to estimate the benefits of CO2 reductions from policies. However, little is known about the modeling underlying the values or the implied societal risks, making SCC estimates difficult to interpret and assess. This study performs the first in-depth examination of SCC modeling using controlled diagnostic experiments that yield detailed intermediate results, allow for direct comparison of individual components of the models, and facilitate evaluation of the individual model SCCs. Specifically, we analyze DICE, FUND, and PAGE and the multimodel approach used by the US Government. Through our component assessments, we trace SCC differences back to intermediate variables and specific features. We find significant variation in component-level behavior between models driven by model-specific structural and implementation elements, some resulting in artificial differences in results. These elements combine to produce model-specific tendencies in climate and damage responses that contribute to differences observed in SCC outcomes--producing PAGE SCC distributions with longer and fatter right tails and higher averages, followed by DICE with more compact distributions and lower averages, and FUND with distributions that include net benefits and the lowest averages. Overall, our analyses reveal fundamental model behavior relevant to many disciplines of climate research, and identify issues with the models, as well as the overall multimodel approach, that need further consideration. With the growing prominence of SCCs in decision-making, ranging from the local-level to international, improved transparency and technical understanding is essential for informed decisions.",1,1958565613, 1663794,Scholarly Journals,,"Rose, Steven K;Diaz, Delavane B;Blanford, Geoffrey J",," Rose, Steven K",, Journal Article, 2010-0086, May 2017,,2010-0078,2, English, English, 1-28,May 2017,Climate Change Economics," CSAPTjournals , CSAPTpeerjournals",2017,, American Economic Association,8,https://search.proquest.com/docview/1958565613?accountid=14505," Climate Change Economics, vol. 8, no. 2, May 2017, pp. 1-28", [URL:http://www.worldscientific.com/loi/cce] Publisher's URL, 1," Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Valuation of Environmental Effects (Q51) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Global , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Understanding+the+Social+Cost+of+Carbon%3A+A+Model+Diagnostic+and+Inter-comparison+Study&amp;title=Climate+Change+Economics&amp;issn=20100078&amp;date=2017-05-01&amp;volume=8&amp;issue=2&amp;spage=1&amp;au=Rose%2C+Steven+K%3BDiaz%2C+Delavane+B%3BBlanford%2C+Geoffrey+J&amp;isbn=&amp;jtitle=Climate+Change+Economics&amp;btitle=&amp;rft_id=info:eric/1663794&amp;rft_id=info:doi/,EconLit
Emissions Trading with Offset Markets and Free Quota Allocations,"We study optimal climate policy for a ""policy bloc"" of countries facing a market where emissions offsets can be purchased from a non-policy ""fringe"" of countries (such as for the CDM). Policy-bloc firms benefit from free quota allocations whose quantity is updated according to firms' past emissions, or their outputs. We show that the resulting abatement and its allocation between policy bloc and fringe are both inefficient. When firms buy offsets directly from the fringe and all quotas are traded at a single price, the policy bloc chooses to either not constrain the offset market, or ban offsets completely. The former (latter) case occurs when free allocation of quotas is not (very) generous, and the offset market is large (small). It is preferable for policy-bloc countries' governments to instead buy offsets directly from the fringe at a quota price below marginal damage cost of emissions, while the policy-bloc quota price will be above this cost. With maximization of global welfare and a unified quota price, this price is higher, and offsets constrained in fewer cases, but the solution still inefficient. Full efficiency then requires a higher quota price in the policy bloc than in the fringe.",1,1511800387, 1425565,Working Papers,,"Rosendahl, Knut Einar;Strand, Jon"," Information provided in collaboration with the RePEc Project: <a href=""http://repec.org"">RePEc</a>"," Rosendahl, Knut Einar",, Working Paper,,"  0, 2014",,,, English, English,,"0, 2014","CESifo Group Munich, CESifo Working Paper Series: 4603, 2014", CSAPTWorkingPapers,2014," CESifo Group Munich, CESifo Working Paper Series: 4603"," American Economic Association © CESifo Group Munich, CESifo Working Paper Series: 4603",,https://search.proquest.com/docview/1511800387?accountid=14505," CESifo Group Munich, CESifo Working Paper Series: 4603, 2014", [URL:http://www.cesifo-group.de/portal/page/portal/DocBase_Content/WP/WP-CESifo_Working_Papers/wp-cesifo-2014/wp-cesifo-2014-01/cesifo1_wp4603. pdf] URL,," Economic Impacts of Globalization: Environment (F64) , Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , emissions quotas, offset market, quota allocation",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=preprint&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Emissions+Trading+with+Offset+Markets+and+Free+Quota+Allocations&amp;title=&amp;issn=&amp;date=2014-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Rosendahl%2C+Knut+Einar%3BStrand%2C+Jon&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/1425565&amp;rft_id=info:doi/,EconLit
