,Authors,Author.s..ID,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,Cited.by,Abstract Filter,Filtered By (Initials),Second NA Filter,Second Filter By (Initials),DOI,"Filtering Reason (RAs do not fill this out, only for a reference guide)",Link,Filter Explanation (RAs do not fill this out),Document.Type,Publication.Stage,Access.Type,Source,EID,X,,
2180,"Wu, B., Sarker, B.R., Paudel, K.P.",55454665300; 7004982967; 6603654778,Sustainable energy from biomass: Biomethane manufacturing plant location and distribution problem,2015,Applied Energy,158,,,597,608,NA,14,0,NST,,,10.1016/j.apenergy.2015.08.080,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84941614223&partnerID=40&md5=2274593111fa17eacd1ecc382ea147c0,,Article,Final,,Scopus,2-s2.0-84941614223,,,
2181,"Hope, C.",7005311126,The $10 trillion value of better information about the transient climate response,2015,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",373,2054,20140429,,,NA,20,0,NST,,,10.1098/rsta.2014.0429,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84943768303&partnerID=40&md5=81c6b6054fe697d330bc22943ca61b09,,Article,Final,Open Access,Scopus,2-s2.0-84943768303,,,
2182,"Jotzo, F., Mazouz, S.",6603207810; 36244056200,Brown coal exit: A market mechanism for regulated closure of highly emissions intensive power stations,2015,Economic Analysis and Policy,48,,,71,81,NA,18,0,NST,,,10.1016/j.eap.2015.11.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949257534&partnerID=40&md5=d9c528dab9304ffd1329d6302f60fcee,,Article,Final,,Scopus,2-s2.0-84949257534,,,
2185,"Wang, C., Yang, Y., Zhang, J.",7501637590; 56153203200; 36607081200,China's sectoral strategies in energy conservation and carbon mitigation,2015,Climate Policy,15,,,60,80,NA,21,0,NST,,,10.1080/14693062.2015.1050346,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84947494108&partnerID=40&md5=31cfc1356856c9c5f899ae06d9328b2a,,Article,Final,Open Access,Scopus,2-s2.0-84947494108,,,
2187,"Vogt-Schilb, A., Hallegatte, S., de Gouvello, C.",36132406800; 23392612400; 6602383671,Marginal abatement cost curves and the quality of emission reductions: a case study on Brazil,2015,Climate Policy,15,6,,703,723,NA,11,0,NST,,,10.1080/14693062.2014.953908,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84911461838&partnerID=40&md5=b764682d6edce829cd92c04fd0898bfc,,Article,Final,,Scopus,2-s2.0-84911461838,,,
2189,"Paul, A., Palmer, K., Woerman, M.",7402490209; 7202292836; 37040052700,"INCENTIVES, MARGINS, and COST EFFECTIVENESS in COMPREHENSIVE CLIMATE POLICY for the POWER SECTOR",2015,Climate Change Economics,6,4,1550016,,,NA,7,NA,NST,,,10.1142/S2010007815500165,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85025609841&partnerID=40&md5=1dc28105df054b64910490f54927f41e,,Article,Final,,Scopus,2-s2.0-85025609841,,,
2190,"Wang, M., Liu, K., Choi, T.-M., Yue, X.",55631030400; 57189379878; 7202769936; 15838243100,Effects of Carbon Emission Taxes on Transportation Mode Selections and Social Welfare,2015,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",45,11,7109929,1413,1423,NA,27,1,NST,,,10.1109/TSMC.2015.2411577,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84970003087&partnerID=40&md5=64942aec6d909563a4850f1bebff985d,,Article,Final,,Scopus,2-s2.0-84970003087,,,
2191,"Hourcade, J.-C., Shukla, P.-R., Cassen, C.",35617721600; 7202961290; 56041903400,Climate policy architecture for the Cancun paradigm shift: building on the lessons from history,2015,"International Environmental Agreements: Politics, Law and Economics",15,4,,353,367,NA,11,NA,NST,,,10.1007/s10784-015-9301-x,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84947869302&partnerID=40&md5=3221b9760c3b2155a3d48771fc87c333,,Article,Final,,Scopus,2-s2.0-84947869302,,,
2192,"Bommier, A., Lanz, B., Zuber, S.",6508333540; 23481991500; 35830220500,Models-as-usual for unusual risks? On the value of catastrophic climate change,2015,Journal of Environmental Economics and Management,74,,,1,22,NA,9,0,NST,,,10.1016/j.jeem.2015.07.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84951288748&partnerID=40&md5=b644afa85b48b9def6915c5529bad1e9,,Article,Final,,Scopus,2-s2.0-84951288748,,,
2193,"Burtraw, D.",6603790570,The regulatory approach in US climate mitigation policy,2015,Geneva Reports on the World Economy,2015-November,,,239,249,NA,1,0,NST,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84956475992&partnerID=40&md5=6483b160ec41c87aadc7e93ba5499302,,Article,Final,,Scopus,2-s2.0-84956475992,,,
2194,"El Chami, D., Daccache, A.",35721615200; 15126602800,Assessing sustainability of winter wheat production under climate change scenarios in a humid climate - An integrated modelling framework,2015,Agricultural Systems,140,,,19,25,NA,15,0,NST,,,10.1016/j.agsy.2015.08.008,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940905418&partnerID=40&md5=dd47bd7d9fcc240c7c9c01c074dade65,,Article,Final,,Scopus,2-s2.0-84940905418,,,
2195,"Parry, I.A.N., Veung, C., Heine, D.",7005819304; 57128531200; 55574702600,HOW MUCH CARBON PRICING IS in COUNTRIES' OWN INTERESTS? the CRITICAL ROLE of CO-BENEFITS,2015,Climate Change Economics,6,4,1550019,,,NA,23,1,NST,,,10.1142/S2010007815500190,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85044320742&partnerID=40&md5=8a9de06a21a30f79f6210f1648303286,,Article,Final,,Scopus,2-s2.0-85044320742,,,
2196,"Watkiss, P., Benzie, M., Klein, R.J.T.",6506671081; 56096620800; 7404358999,The complementarity and comparability of climate change adaptation and mitigation,2015,Wiley Interdisciplinary Reviews: Climate Change,6,6,,541,557,NA,13,0,NST,,,10.1002/wcc.368,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84945189663&partnerID=40&md5=58b777bd539986695682b96bfeca6b4d,,Article,Final,,Scopus,2-s2.0-84945189663,,,
2197,"Brumm, J., Mikushin, D., Scheidegger, S., Schenk, O.",55911085300; 36195087800; 36057190000; 6701544373,Scalable high-dimensional dynamic stochastic economic modeling,2015,Journal of Computational Science,11,,,12,25,NA,4,0,NST,,,10.1016/j.jocs.2015.07.004,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940492592&partnerID=40&md5=9cbba4d96c7ee76e132de11dbb68318b,,Article,Final,,Scopus,2-s2.0-84940492592,,,
2198,"Moreaux, M., Withagen, C.",55891189800; 7003930644,Optimal abatement of carbon emission flows,2015,Journal of Environmental Economics and Management,74,,,55,70,NA,11,0,NST,,,10.1016/j.jeem.2015.08.002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84951288772&partnerID=40&md5=fb947b525467252558c466f273f2f92d,,Article,Final,,Scopus,2-s2.0-84951288772,,,
2200,"Mattauch, L., Creutzig, F., Edenhofer, O.",56613385200; 23995215600; 55868364000,Avoiding carbon lock-in: Policy options for advancing structural change,2015,Economic Modelling,50,,,49,63,NA,14,1,NST,,,10.1016/j.econmod.2015.06.002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84935036809&partnerID=40&md5=6a1af9c4db3e8c181162aab72baae171,,Article,Final,,Scopus,2-s2.0-84935036809,,,
2201,"Pottier, A., Espagne, E., Perrissin Fabert, B., Dumas, P.",55452147300; 56012803800; 55123143100; 8121925500,The Comparative Impact of Integrated Assessment Models’ Structures on Optimal Mitigation Policies,2015,Environmental Modeling and Assessment,20,5,,453,473,NA,2,1,NST,,,10.1007/s10666-015-9443-9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940574931&partnerID=40&md5=76a1bf853640f3d129a77e4fa42c956d,,Article,Final,,Scopus,2-s2.0-84940574931,,,
2202,"Gerlagh, R., Michielsen, T.O.",6602746685; 55253910600,Moving targets—cost-effective climate policy under scientific uncertainty,2015,Climatic Change,132,4,,519,529,NA,4,1,NST,,,10.1007/s10584-015-1447-6,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84942502289&partnerID=40&md5=b1ec3c4cfad1978da429fec9fa36ebf7,,Article,Final,,Scopus,2-s2.0-84942502289,,,
2204,[No author name available],[No author name available],"Federal plan requirements for greenhouse gas emissions from electric utility generating units constructed on or before January 8, 2014; model trading rules; amendments to framework regulations",2015,Federal Register,80,205,,64965,65116,NA,NA,0,NST,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84954112158&partnerID=40&md5=e9dc2280af24fb2f97df5fac67f61463,,Article,Final,,Scopus,2-s2.0-84954112158,,,
2205,[No author name available],[No author name available],Carbon pollution emission guidelines for existing stationary sources: Electric utility generating units,2015,Federal Register,80,205,,64661,64964,NA,34,0,NST,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84954110569&partnerID=40&md5=97f30329803d4f4772255b90c6da4ed9,,Article,Final,,Scopus,2-s2.0-84954110569,,,
2207,"Zhao, X., Doering, O.C., Tyner, W.E.",56019830600; 6603930707; 35241386400,The economic competitiveness and emissions of battery electric vehicles in China,2015,Applied Energy,156,,,666,675,NA,52,0,NST,,,10.1016/j.apenergy.2015.07.063,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84939444589&partnerID=40&md5=b98c7ae84a1dc1bd3346947386869497,,Article,Final,,Scopus,2-s2.0-84939444589,,,
2208,"Adler, M.D., Treich, N.",7202067933; 6602731804,Prioritarianism and Climate Change,2015,Environmental and Resource Economics,62,2,,279,308,NA,13,1,NST,,,10.1007/s10640-015-9960-7,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84943365366&partnerID=40&md5=59baa37d479d9ab485e61c20c7fecc6e,,Article,Final,,Scopus,2-s2.0-84943365366,,,
2209,"Archsmith, J., Kendall, A., Rapson, D.",56993974100; 8323560800; 56116822000,From Cradle to Junkyard: Assessing the Life Cycle Greenhouse Gas Benefits of Electric Vehicles,2015,Research in Transportation Economics,52,,,72,90,NA,46,0,NST,,,10.1016/j.retrec.2015.10.007,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949188669&partnerID=40&md5=c899c6985a20cf4bea0ec499b7f191d4,,Article,Final,Open Access,Scopus,2-s2.0-84949188669,,,
2210,"Li, B., DeCarolis, J.F.",57210109766; 6603132466,A techno-economic assessment of offshore wind coupled to offshore compressed air energy storage,2015,Applied Energy,155,,,315,322,NA,23,0,NST,,,10.1016/j.apenergy.2015.05.111,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84934948157&partnerID=40&md5=49b7a15322df6354436d0ce6adb591ac,,Article,Final,,Scopus,2-s2.0-84934948157,,,
2211,"Farmer, J.D., Hepburn, C., Mealy, P., Teytelboym, A.",16143273100; 9741754000; 56891454800; 36015808300,A Third Wave in the Economics of Climate Change,2015,Environmental and Resource Economics,62,2,,329,357,NA,77,0,NST,,,10.1007/s10640-015-9965-2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84943263160&partnerID=40&md5=aa08a04dbe540b7203d07b9233c32b5e,,Article,Final,,Scopus,2-s2.0-84943263160,,,
2212,"Š?asný, M., Massetti, E., Melichar, J., Carrara, S.",57208759576; 24462216500; 56862011400; 55832651600,Quantifying the Ancillary Benefits of the Representative Concentration Pathways on Air Quality in Europe,2015,Environmental and Resource Economics,62,2,,383,415,NA,18,0,NST,,,10.1007/s10640-015-9969-y,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84944278786&partnerID=40&md5=462e95439f071b0c3d8baa28eb11d1b6,,Article,Final,,Scopus,2-s2.0-84944278786,,,
2214,"Endres, A., Friehe, T.",7006808457; 21833822700,"The Compensation Regime in Liability Law: Incentives to Curb Environmental Harm, Ex Ante and Ex Post",2015,Environmental and Resource Economics,62,1,,105,123,NA,2,0,NST,,,10.1007/s10640-014-9817-5,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84938981477&partnerID=40&md5=87aa27a2a15ba05512455c669924de8f,,Article,Final,,Scopus,2-s2.0-84938981477,,,
2215,"Foote, K.J., Joy, M.K., Death, R.G.",56600088500; 7103314490; 7003551375,New Zealand Dairy Farming: Milking Our Environment for All Its Worth,2015,Environmental Management,56,3,,709,720,NA,45,0,NST,,,10.1007/s00267-015-0517-x,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84938743067&partnerID=40&md5=7b3d23c30186d8351d99866bb036da02,,Article,Final,,Scopus,2-s2.0-84938743067,,,
2217,"Calel, R., Stainforth, D.A., Dietz, S.",55251707100; 6602235428; 21734306100,Tall tales and fat tails: the science and economics of extreme warming,2015,Climatic Change,132,1,,127,141,NA,11,0,NST,,,10.1007/s10584-013-0911-4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940719712&partnerID=40&md5=7e3932cecb15afa23a103fd43aac5301,,Article,Final,Open Access,Scopus,2-s2.0-84940719712,,,
2218,"Havranek, ., Irsova, Z., Janda, K., Zilberman, D.",24453189000; 37080793200; 56240770500; 35578894000,Selective reporting and the social cost of carbon,2015,Energy Economics,51,,,394,406,NA,32,1,NST,,,10.1016/j.eneco.2015.08.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940541889&partnerID=40&md5=4574be13743a6eb200d46c04e1720e57,,Article,Final,,Scopus,2-s2.0-84940541889,,,
2219,"Nocera, S., Tonin, S., Cavallaro, F.",6701688799; 23478482700; 50861201600,Carbon estimation and urban mobility plans: Opportunities in a context of austerity,2015,Research in Transportation Economics,51,,,71,82,NA,20,1,NST,,,10.1016/j.retrec.2015.07.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84981267531&partnerID=40&md5=f37761a0dee28813173b92072cb8ad1a,,Article,Final,,Scopus,2-s2.0-84981267531,,,
2220,"Freeman, M.C., Groom, B., Panopoulou, E., Pantelidis, T.",8349635100; 9740614000; 57203158013; 16304816500,"Declining discount rates and the Fisher Effect: Inflated past, discounted future?",2015,Journal of Environmental Economics and Management,73,,,32,49,NA,14,1,NST,,,10.1016/j.jeem.2015.06.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84941635184&partnerID=40&md5=603530c924bea83572368120237e3ff9,,Article,Final,,Scopus,2-s2.0-84941635184,,,
2222,"Gonela, V., Zhang, J., Osmani, A.",55315094600; 57212554237; 55314773200,Stochastic optimization of sustainable industrial symbiosis based hybrid generation bioethanol supply chains,2015,Computers and Industrial Engineering,87,,,40,65,NA,41,0,NST,,,10.1016/j.cie.2015.04.025,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929643463&partnerID=40&md5=36b9cc1c22467322ec0130ff48682274,,Article,Final,,Scopus,2-s2.0-84929643463,,,
2223,"Atsalakis, G., Frantzis, D., Zopounidis, C.",24722624900; 56604227600; 7004152244,Forecasting of carbon emissions prices by the adaptive neuro-fuzzy inference system,2015,Journal of Energy Markets,8,3,,55,68,NA,NA,NA,NST,,,10.21314/JEM.2015.122,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065583201&partnerID=40&md5=d251d99848e28a32c2287ed94b0beefc,,Article,Final,,Scopus,2-s2.0-85065583201,,,
2224,"Sallustio, L., Quatrini, V., Geneletti, D., Corona, P., Marchetti, M.",55155761500; 55236432600; 6603147495; 7006318225; 57192094610,Assessing land take by urban development and its impact on carbon storage: Findings from two case studies in Italy,2015,Environmental Impact Assessment Review,54,,,80,90,NA,40,0,NST,,,10.1016/j.eiar.2015.05.006,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84930959397&partnerID=40&md5=f5558368e79843a6fd5ba9e6d10839c8,,Article,Final,Open Access,Scopus,2-s2.0-84930959397,,,
2226,"Tol, R.S.J.",55765581600,Bootstraps for Meta-Analysis with an Application to the Impact of Climate Change,2015,Computational Economics,46,2,,287,303,NA,4,0,NST,,,10.1007/s10614-014-9448-5,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84938207528&partnerID=40&md5=3395f4107e55280f24972d4d50f6b2ee,,Article,Final,,Scopus,2-s2.0-84938207528,,,
2230,"Khan, L.R., Tee, K.F.",55805601700; 57201346236,Quantification and comparison of carbon emissions for flexible underground pipelines,2015,Canadian Journal of Civil Engineering,42,10,,728,736,NA,14,0,NST,,,10.1139/cjce-2015-0156,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84942908180&partnerID=40&md5=9917f884762cc28e3b5f9adafa036595,,Article,Final,,Scopus,2-s2.0-84942908180,,,
2231,"Honjo, K.",56857267800,Cooperative emissions trading game: International permit market dominated by buyers,2015,PLoS ONE,10,8, e0132272,,,NA,2,0,NST,,,10.1371/journal.pone.0132272,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84941975879&partnerID=40&md5=043f69f17b07a64b58147fc08444fc7a,,Article,Final,Open Access,Scopus,2-s2.0-84941975879,,,
2232,"Bachmann, T.M.",7005778842,"Assessing Air Pollutant-Induced, Health-Related External Costs in the Context of Nonmarginal System Changes: A Review",2015,Environmental Science and Technology,49,16,,9503,9517,NA,4,0,NST,,,10.1021/acs.est.5b01623,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84939646145&partnerID=40&md5=f1bd11a7a6b91fd43722ae18a145ce41,,Article,Final,,Scopus,2-s2.0-84939646145,,,
2233,"Arroyo, D., Ordaz, M., Teran-Gilmore, A.",56000809800; 7004465619; 6603197571,Seismic loss estimation and environmental issues,2015,Earthquake Spectra,31,3,,1285,1308,NA,10,0,NST,,,10.1193/020713EQS023M,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84964000609&partnerID=40&md5=e738eeca0a37f68dbbf84198e986bb6e,,Article,Final,,Scopus,2-s2.0-84964000609,,,
2234,"Bento, A., Ho, B., Ramirez-Basora, M.",56262613200; 54392158400; 56711927300,Optimal monitoring and offset prices in voluntary emissions markets,2015,Resource and Energy Economics,41,,,202,223,NA,9,NA,NST,,,10.1016/j.reseneeco.2015.05.002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84935887145&partnerID=40&md5=36209eac8ff7b0009677a64fe4dd1ff3,,Article,Final,,Scopus,2-s2.0-84935887145,,,
2235,"Lee, C., Schlemme, C., Murray, J., Unsworth, R.",56645427500; 56646477100; 56645437700; 6602877576,The cost of climate change: Ecosystem services and wildland fires,2015,Ecological Economics,116,,,261,269,NA,12,0,NST,,,10.1016/j.ecolecon.2015.04.020,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929409237&partnerID=40&md5=647ebbbef2319259a2674809840b1d36,,Article,Final,Open Access,Scopus,2-s2.0-84929409237,,,
2236,"Fleurbaey, M., Zuber, S.",6602530940; 35830220500,"Discounting, risk and inequality: A general approach",2015,Journal of Public Economics,128,,,34,49,NA,9,0,NST,,,10.1016/j.jpubeco.2015.05.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84931275534&partnerID=40&md5=0f756c503c48024be7f0745d41d50a0c,,Article,Final,,Scopus,2-s2.0-84931275534,,,
2237,"Kontou, E., Yin, Y., Lin, Z.",56289705800; 7403273620; 23973098500,Socially optimal electric driving range of plug-in hybrid electric vehicles,2015,Transportation Research Part D: Transport and Environment,39,,,114,125,NA,20,0,NST,,,10.1016/j.trd.2015.07.002,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84937847295&partnerID=40&md5=867a8de74ba973ba51cfad87d929112a,,Article,Final,Open Access,Scopus,2-s2.0-84937847295,,,
2238,"Gaitán-Cremaschi, D., Kamali, F.P., van Evert, F.K., Meuwissen, M.P.M., Oude Lansink, A.G.J.M.",56688571600; 56688287800; 6508262057; 7003942968; 6603664423,Benchmarking the sustainability performance of the Brazilian non-GM and GM soybean meal chains: An indicator-based approach,2015,Food Policy,55,,,22,32,NA,10,0,NST,,,10.1016/j.foodpol.2015.05.006,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84931274635&partnerID=40&md5=aa829f9aad07f5b0a062691142baf7be,,Article,Final,,Scopus,2-s2.0-84931274635,,,
2239,"Framstad, N.C., Strand, J.",6603183984; 7006323726,Energy intensive infrastructure investments with retrofits in continuous time: Effects of uncertainty on energy use and carbon emissions,2015,Resource and Energy Economics,41,,,1,18,NA,3,0,NST,,,10.1016/j.reseneeco.2015.03.003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929324628&partnerID=40&md5=ba33488010bc9ce66db8d5e9e205dc76,,Article,Final,,Scopus,2-s2.0-84929324628,,,
2240,"Hackett, S.B., Moxnes, E.",56681874200; 6603527264,Natural capital in integrated assessment models of climate change,2015,Ecological Economics,116,,,354,361,NA,6,1,NST,,,10.1016/j.ecolecon.2015.05.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84930937447&partnerID=40&md5=34311ba528e0aef3e42b0c8fa429668f,,Article,Final,,Scopus,2-s2.0-84930937447,,,
2241,"Xiao, Y.-B., Fu, X., Ng, A.K.Y., Zhang, A.",57200940783; 35264384400; 55760560900; 7402772922,Port investments on coastal and marine disasters prevention: Economic modeling and implications,2015,Transportation Research Part B: Methodological,78,,,202,221,NA,31,0,NST,,,10.1016/j.trb.2015.04.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929452464&partnerID=40&md5=ff6716679b5c97b1eb238237785a3c5e,,Article,Final,,Scopus,2-s2.0-84929452464,,,
2244,"Andreoli, E., Barron, A.R.",35092201500; 55950457000,Correlating Carbon Dioxide Capture and Chemical Changes in Pyrolyzed Polyethylenimine-C<inf>60</inf>,2015,Energy and Fuels,29,7,,4479,4487,NA,11,0,NST,,,10.1021/acs.energyfuels.5b00778,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84937107389&partnerID=40&md5=1f9b5ebfd0764299490e5b5203a22aa5,,Article,Final,,Scopus,2-s2.0-84937107389,,,
2245,"Ramamurthy, P., Sun, T., Rule, K., Bou-Zeid, E.",7005412075; 56230794000; 56519732000; 6603009057,The joint influence of albedo and insulation on roof performance: A modeling study,2015,Energy and Buildings,102,,,317,327,NA,14,0,NST,,,10.1016/j.enbuild.2015.06.005,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84936754674&partnerID=40&md5=28f20e39f18db150716246304a50ad77,,Article,Final,Open Access,Scopus,2-s2.0-84936754674,,,
2247,"Mills, D., Jones, R., Carney, K., St. Juliana, A., Ready, R., Crimmins, A., Martinich, J., Shouse, K., DeAngelo, B., Monier, E.",56090908700; 57213784005; 57206500304; 56703453900; 7003690355; 36809088900; 15519938400; 55391375600; 8767874100; 27968009900,Quantifying and monetizing potential climate change policy impacts on terrestrial ecosystem carbon storage and wildfires in the United States,2015,Climatic Change,131,1,,163,178,NA,10,0,NST,,,10.1007/s10584-014-1118-z,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84933504495&partnerID=40&md5=1ad0017d8d4766fb5a3e00b97a326965,,Article,Final,Open Access,Scopus,2-s2.0-84933504495,,,
2248,"Paltsev, S., Monier, E., Scott, J., Sokolov, A., Reilly, J.",8691076600; 27968009900; 55477040200; 7402612084; 7402155795,Integrated economic and climate projections for impact assessment,2015,Climatic Change,131,1,,21,33,NA,35,NA,NST,,,10.1007/s10584-013-0892-3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84933676027&partnerID=40&md5=8059730f721b48757b1e96a78ab3d5c0,,Article,Final,Open Access,Scopus,2-s2.0-84933676027,,,
2249,"Rezai, A., van der Ploeg, F.",36859652300; 6701915911,Robustness of a simple rule for the social cost of carbon,2015,Economics Letters,132,,,48,55,NA,6,1,NST,,,10.1016/j.econlet.2015.04.007,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929158304&partnerID=40&md5=f2f83937059978725171e48b05b56539,,Article,Final,,Scopus,2-s2.0-84929158304,,,
2250,"Convery, F.J., Wagnery, G.",55912301400; 56786529900,Managing uncertain climates: Some guidance for policy makers and researchers,2015,Review of Environmental Economics and Policy,9,2,,304,320,NA,10,NA,NST,,,10.1093/reep/rev003,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84939534504&partnerID=40&md5=f96b4161b4566463382b8e1fd2d9e111,,Article,Final,,Scopus,2-s2.0-84939534504,,,
2251,"Wise, M., Hodson, E.L., Mignone, B.K., Clarke, L., Waldhoff, S., Luckow, P.",7202820832; 23097534500; 16646699400; 14626095800; 6507819469; 35093021300,An approach to computing marginal land use change carbon intensities for bioenergy in policy applications,2015,Energy Economics,50,,,337,347,NA,11,0,NST,,,10.1016/j.eneco.2015.05.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84936157168&partnerID=40&md5=1cdc51b290b33e9809b165d1e8b343ec,,Article,Final,Open Access,Scopus,2-s2.0-84936157168,,,
2252,"Intalar, N., Phusittrakool, A., Jeenanunta, C., Dumrongsiri, A., Yenradee, P.",56707424400; 56707425800; 14219246500; 23059827700; 6603467817,A multi-objective unit commitment model for setting carbon tax to reduce CO<inf>2</inf> emission: Thailand’s electricity generation case,2015,EnvironmentAsia,8,2,,9,17,NA,1,1,NST,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84934755716&partnerID=40&md5=859dcd576918e52243b73c21f03130ed,,Article,Final,,Scopus,2-s2.0-84934755716,,,
2253,"Deng, L., Hobbs, B.F., Renson, P.",57195454005; 57203214200; 57195451294,What is the Cost of Negative Bidding by Wind? A Unit Commitment Analysis of Cost and Emissions,2015,IEEE Transactions on Power Systems,30,4,6917222,1805,1814,NA,26,0,NST,,,10.1109/TPWRS.2014.2356514,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85027932389&partnerID=40&md5=b53d3102781b1de2265903306c18615f,,Article,Final,Open Access,Scopus,2-s2.0-85027932389,,,
2254,"He, Y.X., Liu, Y.Y., Du, M., Zhang, J.X., Pang, Y.X.",36080075400; 55464153900; 56180525000; 56523569500; 56596090200,"Comprehensive optimisation of China's energy prices, taxes and subsidy policies based on the dynamic computable general equilibrium model",2015,Energy Conversion and Management,98,,,518,532,NA,18,NA,NST,,,10.1016/j.enconman.2015.03.010,carbon taxc computation but on example of China,https://www.scopus.com/inward/record.url?eid=2-s2.0-84927948435&partnerID=40&md5=ddb40acd9c602fde8a8bf9594b65dae1,,Article,Final,,Scopus,2-s2.0-84927948435,,,
2256,"Rosendahl, K.E., Strand, J.",7003721543; 7006323726,Emissions Trading with Offset Markets and Free Quota Allocations,2015,Environmental and Resource Economics,61,2,,243,271,NA,5,0,NST,,,10.1007/s10640-014-9791-y,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929951612&partnerID=40&md5=1030764f1f70512116e363649b354a5c,,Article,Final,,Scopus,2-s2.0-84929951612,,,
2257,"Mekala, G.D., Jones, R.N., MacDonald, D.H.",9434019800; 8654071800; 55666051500,Valuing the Benefits of Creek Rehabilitation: Building a Business Case for Public Investments in Urban Green Infrastructure,2015,Environmental Management,55,6,,1354,1365,NA,13,0,NST,,,10.1007/s00267-015-0471-7,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929839327&partnerID=40&md5=ee0127fdcddf4c7a8f46f6d29da2ea56,,Article,Final,,Scopus,2-s2.0-84929839327,,,
2259,"Ferraro, P.J., Hanauer, M.M., Miteva, D.A., Nelson, J.L., Pattanayak, S.K., Nolte, C., Sims, K.R.E.",7005745384; 36518663800; 56521533700; 55458259900; 7006596566; 55001583800; 26325909800,Estimating the impacts of conservation on ecosystem services and poverty by integrating modeling and evaluation,2015,Proceedings of the National Academy of Sciences of the United States of America,112,24,,7420,7425,NA,53,0,NST,,,10.1073/pnas.1406487112,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84935826900&partnerID=40&md5=ed13889ea916b9ca4cb1cc0b1b077aa3,,Article,Final,Open Access,Scopus,2-s2.0-84935826900,,,
